Model Outputs,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
,,S03:LAJC,,,S03:LHJC,,,S03:LKJC,,,S03:RAJC,,,S03:RHJC,,,S03:RKJC,,
13,0,25.6021,1377.78,88.6786,29.4095,1337.67,804.712,28.3384,1350.82,449.969,-124.277,1387.72,86.4265,-151.24,1327.3,804.237,-145.464,1380.85,456.713
14,0,25.6356,1377.69,88.6752,29.4418,1337.68,804.711,28.4636,1350.62,449.955,-124.275,1387.72,86.4271,-151.208,1327.32,804.234,-145.438,1380.89,456.712
15,0,25.6679,1377.6,88.6724,29.4736,1337.68,804.711,28.5844,1350.43,449.941,-124.272,1387.7,86.4273,-151.177,1327.34,804.231,-145.412,1380.93,456.711
16,0,25.6984,1377.52,88.6703,29.5047,1337.69,804.711,28.7004,1350.26,449.929,-124.27,1387.69,86.4268,-151.147,1327.36,804.228,-145.385,1380.96,456.708
17,0,25.7267,1377.44,88.669,29.5353,1337.7,804.711,28.8102,1350.1,449.918,-124.268,1387.68,86.4257,-151.117,1327.38,804.226,-145.358,1380.99,456.706
18,0,25.7523,1377.37,88.6686,29.5653,1337.72,804.712,28.9137,1349.95,449.908,-124.266,1387.66,86.4241,-151.087,1327.41,804.225,-145.331,1381.01,456.703
19,0,25.7749,1377.32,88.669,29.5947,1337.73,804.713,29.0108,1349.82,449.898,-124.264,1387.65,86.422,-151.059,1327.44,804.224,-145.304,1381.04,456.7
20,0,25.7943,1377.27,88.6703,29.6236,1337.75,804.714,29.1019,1349.7,449.89,-124.262,1387.64,86.4194,-151.03,1327.47,804.223,-145.277,1381.05,456.697
21,0,25.8104,1377.24,88.6723,29.6519,1337.78,804.715,29.1876,1349.59,449.883,-124.26,1387.62,86.4165,-151.003,1327.5,804.223,-145.25,1381.07,456.694
22,0,25.8233,1377.21,88.675,29.6799,1337.8,804.717,29.269,1349.49,449.877,-124.258,1387.61,86.4133,-150.975,1327.53,804.224,-145.223,1381.08,456.69
23,0,25.8328,1377.19,88.6784,29.7074,1337.83,804.718,29.346,1349.4,449.871,-124.257,1387.59,86.4101,-150.948,1327.57,804.225,-145.198,1381.09,456.688
24,0,25.8394,1377.19,88.6822,29.7346,1337.86,804.721,29.4205,1349.32,449.866,-124.255,1387.58,86.4069,-150.921,1327.6,804.226,-145.173,1381.09,456.685
25,0,25.8429,1377.19,88.6865,29.7616,1337.89,804.723,29.4924,1349.24,449.861,-124.254,1387.57,86.4039,-150.894,1327.64,804.228,-145.148,1381.1,456.683
26,0,25.8438,1377.19,88.6911,29.7886,1337.93,804.726,29.5624,1349.17,449.856,-124.254,1387.57,86.4011,-150.868,1327.68,804.231,-145.125,1381.1,456.682
27,0,25.8424,1377.21,88.6959,29.8155,1337.96,804.729,29.6304,1349.1,449.852,-124.253,1387.56,86.3987,-150.841,1327.72,804.234,-145.102,1381.1,456.681
28,0,25.8386,1377.22,88.7008,29.8426,1338,804.732,29.6963,1349.04,449.849,-124.254,1387.56,86.3967,-150.813,1327.75,804.237,-145.08,1381.09,456.681
29,0,25.833,1377.25,88.706,29.8699,1338.05,804.735,29.7596,1348.98,449.846,-124.254,1387.56,86.3951,-150.786,1327.79,804.241,-145.059,1381.09,456.681
30,0,25.8257,1377.28,88.7112,29.8976,1338.09,804.739,29.8191,1348.93,449.843,-124.255,1387.56,86.3939,-150.758,1327.82,804.245,-145.039,1381.09,456.682
31,0,25.8171,1377.31,88.7166,29.9259,1338.13,804.742,29.8741,1348.88,449.84,-124.256,1387.57,86.3931,-150.729,1327.86,804.249,-145.02,1381.08,456.684
32,0,25.8074,1377.34,88.722,29.9549,1338.18,804.747,29.9232,1348.85,449.839,-124.257,1387.57,86.3927,-150.699,1327.89,804.254,-145.001,1381.08,456.687
33,0,25.7969,1377.38,88.7275,29.9845,1338.22,804.751,29.965,1348.83,449.837,-124.259,1387.58,86.3926,-150.669,1327.92,804.259,-144.983,1381.07,456.69
34,0,25.7857,1377.42,88.733,30.0151,1338.27,804.755,29.9978,1348.82,449.836,-124.261,1387.59,86.3927,-150.637,1327.95,804.265,-144.965,1381.07,456.694
35,0,25.7742,1377.46,88.7384,30.0466,1338.32,804.76,30.0208,1348.84,449.836,-124.262,1387.6,86.393,-150.605,1327.98,804.27,-144.948,1381.07,456.698
36,0,25.7626,1377.51,88.7436,30.0792,1338.36,804.764,30.033,1348.87,449.837,-124.264,1387.62,86.3934,-150.571,1328,804.276,-144.932,1381.06,456.703
37,0,25.751,1377.55,88.7485,30.1129,1338.41,804.769,30.0334,1348.93,449.838,-124.266,1387.63,86.3937,-150.536,1328.03,804.281,-144.915,1381.06,456.708
38,0,25.7397,1377.6,88.753,30.1478,1338.45,804.774,30.022,1349.01,449.84,-124.268,1387.65,86.3941,-150.5,1328.05,804.287,-144.899,1381.06,456.714
39,0,25.7291,1377.65,88.7569,30.184,1338.49,804.779,29.999,1349.11,449.842,-124.269,1387.66,86.3943,-150.462,1328.07,804.293,-144.883,1381.07,456.72
40,0,25.7191,1377.69,88.7603,30.2214,1338.53,804.785,29.9651,1349.23,449.846,-124.271,1387.68,86.3944,-150.423,1328.08,804.298,-144.867,1381.07,456.725
41,0,25.71,1377.73,88.7631,30.2601,1338.57,804.79,29.921,1349.38,449.849,-124.272,1387.7,86.3943,-150.383,1328.1,804.304,-144.851,1381.07,456.731
42,0,25.7022,1377.77,88.7652,30.3001,1338.61,804.795,29.8689,1349.54,449.854,-124.272,1387.71,86.394,-150.342,1328.11,804.309,-144.835,1381.08,456.737
43,0,25.6957,1377.81,88.7668,30.3413,1338.64,804.801,29.8102,1349.72,449.858,-124.273,1387.73,86.3935,-150.299,1328.12,804.314,-144.818,1381.09,456.742
44,0,25.6909,1377.84,88.7679,30.3838,1338.67,804.806,29.7479,1349.91,449.863,-124.273,1387.74,86.3927,-150.255,1328.12,804.319,-144.801,1381.1,456.747
45,0,25.6882,1377.87,88.7686,30.4274,1338.7,804.812,29.6845,1350.11,449.868,-124.273,1387.76,86.3918,-150.21,1328.13,804.324,-144.784,1381.11,456.752
46,0,25.6877,1377.89,88.769,30.472,1338.73,804.817,29.6232,1350.3,449.873,-124.273,1387.77,86.3906,-150.164,1328.13,804.328,-144.766,1381.12,456.756
47,0,25.6897,1377.9,88.7691,30.5177,1338.75,804.823,29.5666,1350.49,449.878,-124.272,1387.78,86.3892,-150.117,1328.13,804.333,-144.748,1381.13,456.759
48,0,25.6944,1377.91,88.7689,30.5643,1338.77,804.828,29.5179,1350.67,449.881,-124.271,1387.79,86.3876,-150.069,1328.13,804.337,-144.729,1381.14,456.762
49,0,25.702,1377.9,88.7686,30.6117,1338.79,804.833,29.4798,1350.83,449.885,-124.27,1387.79,86.3859,-150.02,1328.12,804.34,-144.709,1381.15,456.765
50,0,25.7125,1377.89,88.7681,30.6599,1338.81,804.839,29.4543,1350.96,449.887,-124.268,1387.79,86.3841,-149.971,1328.12,804.344,-144.688,1381.15,456.767
51,0,25.7259,1377.87,88.7674,30.7086,1338.82,804.844,29.443,1351.06,449.888,-124.266,1387.8,86.3822,-149.921,1328.11,804.347,-144.667,1381.16,456.768
52,0,25.742,1377.83,88.7664,30.7577,1338.83,804.849,29.447,1351.13,449.888,-124.264,1387.8,86.3803,-149.87,1328.1,804.35,-144.645,1381.16,456.769
53,0,25.7599,1377.79,88.7651,30.8073,1338.84,804.855,29.4657,1351.18,449.887,-124.261,1387.79,86.3783,-149.819,1328.09,804.352,-144.622,1381.16,456.769
54,0,25.7794,1377.75,88.7636,30.8571,1338.85,804.86,29.4986,1351.19,449.885,-124.259,1387.79,86.3764,-149.768,1328.07,804.355,-144.598,1381.16,456.769
55,0,25.7994,1377.7,88.7618,30.9069,1338.85,804.865,29.5437,1351.17,449.882,-124.256,1387.79,86.3746,-149.717,1328.06,804.357,-144.573,1381.15,456.769
56,0,25.819,1377.64,88.7597,30.9569,1338.86,804.87,29.5991,1351.13,449.878,-124.253,1387.78,86.3729,-149.666,1328.04,804.359,-144.548,1381.14,456.768
57,0,25.8374,1377.59,88.7574,31.0066,1338.86,804.874,29.6618,1351.07,449.874,-124.251,1387.77,86.3714,-149.615,1328.02,804.361,-144.522,1381.13,456.768
58,0,25.8531,1377.55,88.7551,31.0562,1338.86,804.879,29.7281,1351.01,449.869,-124.248,1387.77,86.37,-149.564,1328,804.363,-144.497,1381.11,456.767
59,0,25.8654,1377.51,88.7529,31.1054,1338.86,804.883,29.7947,1350.94,449.865,-124.245,1387.76,86.3688,-149.514,1327.98,804.365,-144.471,1381.1,456.766
60,0,25.8734,1377.49,88.7509,31.1542,1338.85,804.887,29.8588,1350.88,449.861,-124.242,1387.75,86.3677,-149.464,1327.96,804.367,-144.445,1381.08,456.766
61,0,25.8762,1377.47,88.7494,31.2025,1338.85,804.891,29.9168,1350.83,449.858,-124.239,1387.75,86.3669,-149.415,1327.94,804.369,-144.419,1381.05,456.766
62,0,25.8735,1377.48,88.7483,31.2502,1338.84,804.894,29.9662,1350.8,449.856,-124.237,1387.74,86.3663,-149.366,1327.91,804.371,-144.394,1381.03,456.766
63,0,25.8648,1377.5,88.748,31.2972,1338.83,804.897,30.0051,1350.79,449.854,-124.234,1387.74,86.3659,-149.318,1327.89,804.373,-144.369,1381,456.766
64,0,25.8503,1377.54,88.7486,31.3435,1338.82,804.9,30.0316,1350.8,449.854,-124.232,1387.73,86.3657,-149.271,1327.86,804.376,-144.345,1380.97,456.768
65,0,25.8301,1377.59,88.7502,31.3891,1338.81,804.903,30.0448,1350.84,449.854,-124.23,1387.73,86.3658,-149.224,1327.83,804.378,-144.323,1380.94,456.769
66,0,25.8046,1377.67,88.7528,31.4338,1338.8,804.905,30.045,1350.91,449.856,-124.228,1387.73,86.366,-149.179,1327.81,804.38,-144.301,1380.91,456.772
67,0,25.7745,1377.76,88.7565,31.4776,1338.78,804.906,30.0318,1351,449.858,-124.227,1387.73,86.3665,-149.134,1327.78,804.382,-144.281,1380.88,456.775
68,0,25.7407,1377.86,88.7612,31.5205,1338.76,804.908,30.0066,1351.12,449.862,-124.225,1387.73,86.3671,-149.09,1327.75,804.385,-144.261,1380.85,456.778
69,0,25.7041,1377.98,88.7668,31.5623,1338.74,804.909,29.9703,1351.26,449.866,-124.224,1387.73,86.3678,-149.048,1327.72,804.387,-144.244,1380.82,456.782
70,0,25.6655,1378.1,88.7733,31.6031,1338.72,804.909,29.9244,1351.42,449.871,-124.223,1387.73,86.3687,-149.007,1327.68,804.389,-144.227,1380.79,456.786
71,0,25.6262,1378.23,88.7804,31.6428,1338.69,804.909,29.8711,1351.59,449.877,-124.222,1387.73,86.3696,-148.967,1327.65,804.392,-144.211,1380.77,456.79
72,0,25.5872,1378.37,88.7879,31.6814,1338.66,804.908,29.8122,1351.78,449.883,-124.22,1387.73,86.3706,-148.928,1327.62,804.394,-144.197,1380.74,456.795
73,0,25.5493,1378.5,88.7955,31.7187,1338.62,804.907,29.7495,1351.97,449.889,-124.219,1387.73,86.3715,-148.891,1327.58,804.396,-144.183,1380.71,456.799
74,0,25.5137,1378.63,88.8032,31.7547,1338.59,804.905,29.6857,1352.16,449.896,-124.218,1387.73,86.3724,-148.855,1327.54,804.398,-144.17,1380.69,456.804
75,0,25.4808,1378.76,88.8106,31.7893,1338.54,804.903,29.622,1352.35,449.902,-124.216,1387.74,86.3732,-148.82,1327.51,804.4,-144.158,1380.67,456.808
76,0,25.4514,1378.87,88.8176,31.8225,1338.5,804.9,29.5604,1352.53,449.908,-124.214,1387.74,86.374,-148.788,1327.47,804.402,-144.146,1380.65,456.812
77,0,25.4261,1378.98,88.8241,31.8541,1338.45,804.897,29.5027,1352.7,449.913,-124.212,1387.74,86.3745,-148.757,1327.43,804.404,-144.135,1380.63,456.815
78,0,25.4049,1379.07,88.83,31.8842,1338.4,804.893,29.4499,1352.85,449.917,-124.21,1387.74,86.375,-148.727,1327.39,804.405,-144.124,1380.61,456.819
79,0,25.3879,1379.15,88.8352,31.9125,1338.35,804.889,29.4024,1352.98,449.921,-124.207,1387.73,86.3753,-148.7,1327.35,804.406,-144.113,1380.6,456.821
80,0,25.3753,1379.21,88.8397,31.9392,1338.29,804.884,29.3618,1353.09,449.924,-124.204,1387.73,86.3755,-148.674,1327.3,804.406,-144.102,1380.58,456.824
81,0,25.3668,1379.26,88.8436,31.964,1338.23,804.878,29.3281,1353.18,449.925,-124.201,1387.73,86.3756,-148.65,1327.26,804.407,-144.09,1380.57,456.826
82,0,25.3619,1379.3,88.847,31.987,1338.16,804.872,29.3011,1353.24,449.926,-124.198,1387.73,86.3755,-148.628,1327.21,804.407,-144.079,1380.56,456.827
83,0,25.3603,1379.32,88.8498,32.0079,1338.1,804.865,29.2808,1353.28,449.925,-124.196,1387.72,86.3755,-148.608,1327.17,804.407,-144.068,1380.55,456.828
84,0,25.3614,1379.34,88.8521,32.0271,1338.03,804.858,29.2662,1353.3,449.924,-124.193,1387.72,86.3754,-148.591,1327.12,804.406,-144.056,1380.54,456.829
85,0,25.3646,1379.34,88.854,32.0441,1337.96,804.85,29.2575,1353.3,449.922,-124.19,1387.71,86.3753,-148.575,1327.07,804.405,-144.045,1380.52,456.83
86,0,25.3692,1379.34,88.8554,32.0592,1337.88,804.841,29.2531,1353.29,449.919,-124.188,1387.71,86.3753,-148.561,1327.02,804.403,-144.034,1380.51,456.83
87,0,25.375,1379.33,88.8562,32.0724,1337.81,804.833,29.2531,1353.26,449.915,-124.185,1387.7,86.3753,-148.549,1326.97,804.401,-144.023,1380.5,456.831
88,0,25.3813,1379.32,88.8566,32.0836,1337.73,804.824,29.2563,1353.22,449.912,-124.183,1387.7,86.3754,-148.54,1326.91,804.399,-144.012,1380.49,456.831
89,0,25.3877,1379.3,88.8563,32.093,1337.65,804.814,29.2621,1353.17,449.908,-124.182,1387.69,86.3756,-148.532,1326.86,804.396,-144.001,1380.48,456.831
90,0,25.3939,1379.28,88.8553,32.1005,1337.57,804.804,29.2698,1353.11,449.904,-124.18,1387.68,86.3759,-148.526,1326.8,804.393,-143.991,1380.46,456.832
91,0,25.3996,1379.26,88.8537,32.1063,1337.49,804.793,29.2786,1353.05,449.9,-124.179,1387.67,86.3763,-148.521,1326.74,804.39,-143.981,1380.45,456.833
92,0,25.4049,1379.23,88.8512,32.1106,1337.4,804.783,29.2886,1352.99,449.896,-124.177,1387.67,86.3767,-148.518,1326.68,804.386,-143.971,1380.44,456.834
93,0,25.4098,1379.2,88.848,32.1135,1337.32,804.772,29.2995,1352.92,449.893,-124.176,1387.66,86.3772,-148.517,1326.62,804.381,-143.962,1380.42,456.835
94,0,25.4144,1379.17,88.8441,32.115,1337.23,804.761,29.3112,1352.85,449.889,-124.174,1387.65,86.3776,-148.517,1326.56,804.377,-143.954,1380.4,456.836
95,0,25.4187,1379.14,88.8396,32.1155,1337.14,804.749,29.3231,1352.79,449.886,-124.173,1387.64,86.3781,-148.518,1326.49,804.372,-143.946,1380.39,456.838
96,0,25.4231,1379.1,88.8345,32.115,1337.05,804.738,29.3362,1352.72,449.883,-124.171,1387.63,86.3784,-148.52,1326.43,804.366,-143.938,1380.37,456.839
97,0,25.4277,1379.06,88.8291,32.1137,1336.96,804.726,29.35,1352.65,449.88,-124.168,1387.62,86.3787,-148.522,1326.36,804.361,-143.931,1380.35,456.841
98,0,25.4326,1379.02,88.8234,32.1119,1336.87,804.714,29.3647,1352.57,449.877,-124.166,1387.61,86.3789,-148.526,1326.29,804.354,-143.924,1380.33,456.843
99,0,25.4381,1378.97,88.8176,32.1098,1336.78,804.702,29.3809,1352.5,449.873,-124.162,1387.6,86.379,-148.529,1326.23,804.348,-143.918,1380.32,456.845
100,0,25.444,1378.93,88.812,32.1074,1336.68,804.691,29.398,1352.42,449.87,-124.159,1387.59,86.379,-148.533,1326.16,804.341,-143.911,1380.3,456.847
101,0,25.4505,1378.88,88.8066,32.105,1336.58,804.679,29.4162,1352.34,449.866,-124.155,1387.58,86.3789,-148.537,1326.09,804.334,-143.905,1380.28,456.849
102,0,25.4573,1378.84,88.8016,32.1028,1336.48,804.667,29.4354,1352.25,449.862,-124.151,1387.57,86.3787,-148.541,1326.01,804.327,-143.9,1380.26,456.851
103,0,25.464,1378.79,88.7973,32.1009,1336.38,804.655,29.4548,1352.17,449.857,-124.146,1387.56,86.3784,-148.545,1325.94,804.32,-143.894,1380.25,456.853
104,0,25.4706,1378.75,88.7936,32.0994,1336.28,804.643,29.4746,1352.08,449.853,-124.141,1387.54,86.3782,-148.548,1325.87,804.312,-143.888,1380.23,456.854
105,0,25.4764,1378.71,88.7906,32.0984,1336.17,804.632,29.4933,1351.99,449.848,-124.136,1387.53,86.378,-148.551,1325.79,804.304,-143.882,1380.21,456.855
106,0,25.4813,1378.68,88.7885,32.098,1336.06,804.62,29.511,1351.9,449.842,-124.132,1387.52,86.3778,-148.553,1325.72,804.296,-143.877,1380.19,456.856
107,0,25.4846,1378.65,88.7872,32.0983,1335.95,804.609,29.5265,1351.81,449.837,-124.127,1387.51,86.3777,-148.555,1325.65,804.288,-143.871,1380.18,456.856
108,0,25.4858,1378.64,88.7868,32.0992,1335.84,804.598,29.5386,1351.73,449.831,-124.123,1387.5,86.3777,-148.556,1325.57,804.279,-143.865,1380.16,456.856
109,0,25.4849,1378.63,88.7872,32.1008,1335.73,804.587,29.5469,1351.65,449.825,-124.119,1387.48,86.3778,-148.557,1325.49,804.271,-143.86,1380.13,456.855
110,0,25.4815,1378.63,88.7884,32.103,1335.61,804.576,29.5505,1351.59,449.82,-124.116,1387.47,86.378,-148.557,1325.42,804.262,-143.854,1380.11,456.854
111,0,25.4754,1378.64,88.7903,32.1059,1335.5,804.566,29.5489,1351.53,449.814,-124.112,1387.45,86.3783,-148.556,1325.34,804.253,-143.849,1380.08,456.852
112,0,25.4667,1378.66,88.7928,32.1092,1335.38,804.555,29.5419,1351.48,449.809,-124.11,1387.44,86.3787,-148.555,1325.27,804.245,-143.843,1380.06,456.85
113,0,25.4556,1378.69,88.7958,32.1131,1335.26,804.546,29.5291,1351.45,449.804,-124.107,1387.43,86.3791,-148.553,1325.19,804.236,-143.838,1380.02,456.848
114,0,25.4425,1378.72,88.799,32.1173,1335.15,804.536,29.511,1351.42,449.8,-124.105,1387.41,86.3795,-148.552,1325.11,804.227,-143.833,1379.99,456.845
115,0,25.4278,1378.76,88.8025,32.1218,1335.03,804.526,29.4879,1351.41,449.796,-124.104,1387.4,86.3799,-148.549,1325.04,804.218,-143.828,1379.95,456.842
116,0,25.412,1378.81,88.8059,32.1265,1334.91,804.517,29.4607,1351.41,449.792,-124.102,1387.38,86.3802,-148.547,1324.96,804.209,-143.823,1379.92,456.839
117,0,25.3961,1378.85,88.8091,32.1312,1334.8,804.508,29.4307,1351.41,449.789,-124.101,1387.37,86.3805,-148.544,1324.89,804.201,-143.818,1379.88,456.835
118,0,25.3807,1378.9,88.8119,32.136,1334.68,804.5,29.3992,1351.43,449.786,-124.1,1387.35,86.3807,-148.542,1324.81,804.192,-143.814,1379.83,456.832
119,0,25.3665,1378.94,88.8141,32.1407,1334.57,804.491,29.3675,1351.44,449.783,-124.098,1387.34,86.3809,-148.539,1324.74,804.184,-143.809,1379.79,456.829
120,0,25.3544,1378.97,88.8155,32.1452,1334.45,804.483,29.3373,1351.45,449.78,-124.097,1387.33,86.381,-148.537,1324.66,804.175,-143.805,1379.75,456.826
121,0,25.345,1378.99,88.816,32.1495,1334.34,804.475,29.3105,1351.46,449.777,-124.095,1387.32,86.3812,-148.534,1324.59,804.167,-143.801,1379.71,456.823
122,0,25.339,1379.01,88.8155,32.1535,1334.23,804.468,29.2887,1351.46,449.774,-124.093,1387.31,86.3815,-148.532,1324.52,804.158,-143.797,1379.67,456.82
123,0,25.3368,1379,88.8139,32.1572,1334.13,804.461,29.273,1351.44,449.77,-124.092,1387.3,86.3819,-148.53,1324.44,804.15,-143.793,1379.63,456.818
124,0,25.3388,1378.99,88.811,32.1605,1334.02,804.453,29.2657,1351.41,449.766,-124.089,1387.29,86.3824,-148.529,1324.37,804.142,-143.789,1379.59,456.816
125,0,25.3449,1378.96,88.807,32.1634,1333.92,804.447,29.2668,1351.37,449.76,-124.087,1387.28,86.3831,-148.528,1324.3,804.134,-143.785,1379.56,456.815
126,0,25.3554,1378.91,88.8019,32.1659,1333.82,804.44,29.2776,1351.3,449.755,-124.084,1387.28,86.3839,-148.527,1324.23,804.126,-143.781,1379.52,456.813
127,0,25.3698,1378.86,88.7959,32.168,1333.73,804.433,29.2985,1351.2,449.748,-124.081,1387.27,86.385,-148.526,1324.16,804.118,-143.777,1379.49,456.812
128,0,25.3878,1378.79,88.789,32.1697,1333.63,804.427,29.3296,1351.09,449.74,-124.078,1387.27,86.3862,-148.525,1324.09,804.11,-143.773,1379.46,456.811
129,0,25.4089,1378.71,88.7816,32.171,1333.54,804.421,29.3704,1350.96,449.732,-124.075,1387.26,86.3875,-148.525,1324.02,804.103,-143.768,1379.43,456.811
130,0,25.4323,1378.62,88.7738,32.172,1333.46,804.414,29.4205,1350.8,449.723,-124.072,1387.26,86.3888,-148.525,1323.95,804.096,-143.763,1379.41,456.81
131,0,25.4574,1378.53,88.7659,32.1726,1333.37,804.408,29.4789,1350.63,449.713,-124.068,1387.25,86.3902,-148.526,1323.89,804.089,-143.758,1379.38,456.809
132,0,25.4832,1378.44,88.7582,32.1729,1333.29,804.402,29.5448,1350.44,449.703,-124.064,1387.24,86.3915,-148.526,1323.82,804.082,-143.752,1379.35,456.808
133,0,25.5089,1378.35,88.751,32.173,1333.21,804.397,29.6164,1350.24,449.693,-124.06,1387.24,86.3926,-148.527,1323.76,804.075,-143.746,1379.33,456.807
134,0,25.5337,1378.26,88.7445,32.1728,1333.14,804.391,29.6923,1350.03,449.682,-124.056,1387.23,86.3937,-148.528,1323.69,804.069,-143.739,1379.3,456.806
135,0,25.5567,1378.18,88.7389,32.1724,1333.06,804.385,29.7713,1349.82,449.672,-124.052,1387.22,86.3945,-148.529,1323.63,804.062,-143.732,1379.27,456.805
136,0,25.5774,1378.11,88.7343,32.1718,1332.99,804.38,29.8519,1349.6,449.661,-124.048,1387.21,86.395,-148.529,1323.57,804.056,-143.724,1379.24,456.803
137,0,25.5952,1378.05,88.731,32.1713,1332.93,804.374,29.9327,1349.39,449.651,-124.045,1387.21,86.3954,-148.53,1323.51,804.051,-143.716,1379.21,456.802
138,0,25.6097,1378,88.729,32.1706,1332.87,804.369,30.0122,1349.18,449.641,-124.041,1387.2,86.3955,-148.531,1323.45,804.045,-143.707,1379.18,456.8
139,0,25.6207,1377.96,88.7284,32.1699,1332.81,804.363,30.0897,1348.98,449.632,-124.037,1387.19,86.3954,-148.532,1323.39,804.04,-143.698,1379.14,456.798
140,0,25.6281,1377.94,88.7291,32.1695,1332.75,804.358,30.1637,1348.79,449.623,-124.034,1387.18,86.3952,-148.532,1323.33,804.036,-143.688,1379.1,456.796
141,0,25.6323,1377.93,88.7311,32.1692,1332.7,804.353,30.234,1348.61,449.614,-124.03,1387.17,86.395,-148.532,1323.28,804.031,-143.677,1379.06,456.794
142,0,25.6333,1377.92,88.7343,32.1693,1332.65,804.349,30.3002,1348.44,449.606,-124.027,1387.16,86.3947,-148.532,1323.22,804.027,-143.667,1379.03,456.793
143,0,25.6316,1377.93,88.7386,32.1698,1332.6,804.344,30.3612,1348.28,449.599,-124.025,1387.15,86.3945,-148.531,1323.17,804.024,-143.655,1378.98,456.791
144,0,25.6277,1377.94,88.7438,32.1708,1332.56,804.34,30.4173,1348.14,449.592,-124.022,1387.15,86.3944,-148.529,1323.11,804.02,-143.643,1378.94,456.79
145,0,25.6223,1377.96,88.7497,32.1726,1332.52,804.336,30.4686,1348.01,449.586,-124.02,1387.14,86.3945,-148.527,1323.06,804.017,-143.631,1378.9,456.789
146,0,25.6158,1377.98,88.7561,32.1753,1332.48,804.332,30.5149,1347.89,449.58,-124.018,1387.14,86.3948,-148.524,1323.01,804.015,-143.618,1378.86,456.789
147,0,25.6091,1378,88.7629,32.179,1332.44,804.328,30.5569,1347.79,449.575,-124.017,1387.13,86.3954,-148.519,1322.96,804.012,-143.605,1378.82,456.789
148,0,25.6027,1378.03,88.7698,32.1839,1332.41,804.325,30.5944,1347.7,449.57,-124.016,1387.13,86.3962,-148.514,1322.91,804.01,-143.591,1378.78,456.789
149,0,25.597,1378.05,88.7766,32.1901,1332.38,804.321,30.6282,1347.63,449.566,-124.015,1387.13,86.3974,-148.507,1322.86,804.008,-143.576,1378.74,456.79
150,0,25.5926,1378.07,88.7832,32.198,1332.34,804.318,30.6586,1347.56,449.563,-124.015,1387.13,86.3988,-148.498,1322.82,804.007,-143.561,1378.7,456.792
151,0,25.5898,1378.09,88.7893,32.2076,1332.31,804.315,30.6862,1347.51,449.56,-124.015,1387.14,86.4004,-148.488,1322.77,804.006,-143.546,1378.66,456.794
152,0,25.5887,1378.1,88.7949,32.2192,1332.28,804.313,30.7113,1347.46,449.558,-124.015,1387.14,86.4022,-148.475,1322.72,804.005,-143.53,1378.63,456.796
153,0,25.5896,1378.11,88.7998,32.2329,1332.25,804.311,30.7349,1347.42,449.556,-124.016,1387.14,86.404,-148.461,1322.68,804.004,-143.513,1378.6,456.799
